Model,Dataset,Task,Accuracy Mean,Accuracy Std,AUC-ROC Mean,AUC-ROC Std,Inference Time (ms/sample),Model Size (KB),Feature Ranking (most to least important)
TabNet,Porto Seguro,Classification,0.9635475002545566,0.0,0.5634003199464896,0.01011072159010358,0.013348854992494311,427.9697265625,"['ps_ind_06_bin', 'ps_calc_17_bin', 'ps_car_12', 'ps_calc_01', 'ps_reg_02', 'ps_calc_18_bin', 'ps_ind_09_bin', 'ps_car_06_cat', 'ps_ind_04_cat', 'ps_calc_05', 'ps_ind_14', 'ps_ind_18_bin', 'ps_calc_07', 'ps_calc_12', 'ps_reg_01', 'ps_calc_02', 'ps_car_11', 'ps_calc_20_bin', 'ps_car_13', 'ps_reg_03', 'ps_car_10_cat', 'ps_calc_04', 'ps_calc_14', 'ps_ind_13_bin', 'ps_car_01_cat', 'ps_calc_09', 'ps_calc_03', 'ps_calc_13', 'ps_ind_10_bin', 'ps_ind_02_cat', 'ps_car_03_cat', 'ps_calc_19_bin', 'ps_car_08_cat', 'ps_car_11_cat', 'ps_ind_15', 'ps_ind_17_bin', 'ps_car_14', 'ps_car_05_cat', 'ps_car_02_cat', 'ps_car_15', 'ps_ind_03', 'ps_calc_08', 'ps_ind_05_cat', 'ps_car_09_cat', 'ps_calc_06', 'ps_ind_16_bin', 'ps_calc_15_bin', 'ps_ind_01', 'ps_ind_12_bin', 'ps_car_07_cat', 'ps_car_04_cat', 'ps_calc_11', 'ps_ind_11_bin', 'ps_calc_16_bin', 'ps_ind_07_bin', 'ps_calc_10', 'ps_ind_08_bin']"
FT-Transformer,Porto Seguro,Classification,0.9635475002545566,0.0,0.6233736428569882,0.00139294390640749,0.23421184216238988,57449.7158203125,"['ps_ind_05_cat', 'ps_ind_15', 'ps_car_15', 'ps_ind_17_bin', 'ps_ind_03', 'ps_reg_03', 'ps_car_13', 'ps_reg_01', 'ps_ind_16_bin', 'ps_car_01_cat', 'ps_reg_02', 'ps_ind_07_bin', 'ps_car_09_cat', 'ps_ind_08_bin', 'ps_car_06_cat', 'ps_ind_06_bin', 'ps_car_11_cat', 'ps_car_12', 'ps_car_05_cat', 'ps_ind_01', 'ps_car_03_cat', 'ps_car_04_cat', 'ps_car_07_cat', 'ps_ind_04_cat', 'ps_calc_04', 'ps_calc_05', 'ps_calc_07', 'ps_calc_09', 'ps_calc_01', 'ps_calc_13', 'ps_calc_18_bin', 'ps_ind_02_cat', 'ps_car_11', 'ps_calc_19_bin', 'ps_car_02_cat', 'ps_car_10_cat', 'ps_calc_06', 'ps_calc_02', 'ps_calc_08', 'ps_calc_14', 'ps_ind_14', 'ps_calc_12', 'ps_calc_11', 'ps_calc_17_bin', 'ps_ind_13_bin', 'ps_ind_11_bin', 'ps_calc_03', 'ps_calc_20_bin', 'ps_ind_09_bin', 'ps_ind_12_bin', 'ps_car_08_cat', 'ps_car_14', 'ps_calc_15_bin', 'ps_calc_10', 'ps_calc_16_bin', 'ps_ind_18_bin', 'ps_ind_10_bin']"
XGBoost,Porto Seguro,Classification,0.9635475002545566,0.0,0.6261957651982207,0.0008057390909037509,0.0010849186340182878,648.150390625,"['ps_car_07_cat_-1', 'ps_ind_05_cat_0', 'ps_ind_17_bin', 'ps_ind_07_bin', 'ps_ind_06_bin', 'ps_car_07_cat_1', 'ps_car_03_cat_-1', 'ps_ind_16_bin', 'ps_car_13', 'ps_ind_05_cat_-1', 'ps_car_11_cat_27', 'ps_reg_03', 'ps_reg_02', 'ps_car_01_cat_7', 'ps_car_04_cat_1', 'ps_ind_15', 'ps_ind_05_cat_6', 'ps_car_11_cat_44', 'ps_car_10_cat_0', 'ps_car_08_cat_1', 'ps_ind_03', 'ps_ind_09_bin', 'ps_car_11_cat_93', 'ps_car_11_cat_76', 'ps_car_11_cat_53', 'ps_car_11_cat_40', 'ps_car_11_cat_25', 'ps_car_11_cat_61', 'ps_car_01_cat_9', 'ps_ind_05_cat_2', 'ps_car_11_cat_74', 'ps_car_06_cat_7', 'ps_ind_05_cat_4', 'ps_car_11_cat_28', 'ps_car_11_cat_5', 'ps_car_06_cat_10', 'ps_ind_02_cat_2', 'ps_reg_01', 'ps_car_11_cat_41', 'ps_car_11_cat_63', 'ps_car_08_cat_0', 'ps_car_09_cat_1', 'ps_car_11_cat_71', 'ps_car_11_cat_2', 'ps_car_11_cat_55', 'ps_car_11_cat_36', 'ps_car_06_cat_11', 'ps_car_11_cat_33', 'ps_car_11_cat_97', 'ps_car_03_cat_0', 'ps_ind_04_cat_1', 'ps_car_11_cat_70', 'ps_car_09_cat_3', 'ps_car_11_cat_21', 'ps_car_06_cat_15', 'ps_car_03_cat_1', 'ps_car_06_cat_9', 'ps_car_05_cat_0', 'ps_car_07_cat_0', 'ps_calc_17_bin', 'ps_ind_08_bin', 'ps_car_12', 'ps_car_09_cat_4', 'ps_calc_04', 'ps_car_11_cat_51', 'ps_ind_05_cat_3', 'ps_car_09_cat_0', 'ps_car_01_cat_6', 'ps_calc_12', 'ps_car_04_cat_2', 'ps_car_01_cat_4', 'ps_car_14', 'ps_car_04_cat_6', 'ps_calc_09', 'ps_car_11_cat_100', 'ps_calc_18_bin', 'ps_ind_02_cat_3', 'ps_car_06_cat_14', 'ps_car_11_cat_10', 'ps_car_11_cat_19', 'ps_car_11_cat_72', 'ps_ind_02_cat_1', 'ps_calc_15_bin', 'ps_car_05_cat_1', 'ps_ind_01', 'ps_calc_03', 'ps_car_11_cat_11', 'ps_calc_05', 'ps_car_11_cat_75', 'ps_car_11', 'ps_car_01_cat_3', 'ps_calc_16_bin', 'ps_car_15', 'ps_car_11_cat_32', 'ps_car_06_cat_6', 'ps_calc_07', 'ps_car_01_cat_0', 'ps_car_11_cat_73', 'ps_car_06_cat_1', 'ps_car_11_cat_20', 'ps_calc_10', 'ps_calc_13', 'ps_calc_14', 'ps_ind_04_cat_0', 'ps_car_11_cat_65', 'ps_car_01_cat_2', 'ps_calc_01', 'ps_car_11_cat_49', 'ps_car_11_cat_16', 'ps_calc_06', 'ps_car_11_cat_87', 'ps_car_11_cat_37', 'ps_calc_02', 'ps_calc_11', 'ps_car_11_cat_95', 'ps_car_04_cat_8', 'ps_car_06_cat_4', 'ps_car_06_cat_0', 'ps_calc_08', 'ps_car_11_cat_86', 'ps_calc_19_bin', 'ps_car_06_cat_8', 'ps_car_11_cat_103', 'ps_car_11_cat_46', 'ps_car_04_cat_0', 'ps_car_11_cat_64', 'ps_car_01_cat_8', 'ps_car_05_cat_-1', 'ps_car_01_cat_1', 'ps_car_11_cat_88', 'ps_ind_18_bin', 'ps_car_11_cat_94', 'ps_car_11_cat_39', 'ps_car_06_cat_16', 'ps_car_11_cat_52', 'ps_calc_20_bin', 'ps_car_06_cat_17', 'ps_car_11_cat_78', 'ps_car_06_cat_3', 'ps_car_11_cat_80', 'ps_car_02_cat_0', 'ps_car_11_cat_13', 'ps_ind_12_bin', 'ps_car_11_cat_104', 'ps_car_09_cat_2', 'ps_car_01_cat_10', 'ps_car_11_cat_68', 'ps_car_11_cat_98', 'ps_car_11_cat_54', 'ps_car_09_cat_-1', 'ps_ind_02_cat_4', 'ps_car_11_cat_66', 'ps_car_01_cat_11', 'ps_car_11_cat_31', 'ps_car_11_cat_83', 'ps_car_04_cat_9', 'ps_car_11_cat_24', 'ps_car_11_cat_56', 'ps_car_11_cat_67', 'ps_car_01_cat_5', 'ps_car_11_cat_82', 'ps_car_11_cat_9', 'ps_car_11_cat_99', 'ps_car_11_cat_50', 'ps_car_11_cat_92', 'ps_car_11_cat_6', 'ps_car_11_cat_81', 'ps_car_11_cat_77', 'ps_ind_05_cat_1', 'ps_car_11_cat_14', 'ps_car_11_cat_57', 'ps_car_11_cat_22', 'ps_car_11_cat_18', 'ps_car_11_cat_84', 'ps_car_11_cat_38', 'ps_car_06_cat_5', 'ps_car_11_cat_85', 'ps_ind_14', 'ps_car_11_cat_7', 'ps_car_11_cat_8', 'ps_car_11_cat_101', 'ps_car_06_cat_12', 'ps_car_11_cat_60', 'ps_car_11_cat_26', 'ps_car_04_cat_5', 'ps_car_06_cat_13', 'ps_car_02_cat_1', 'ps_car_04_cat_7', 'ps_car_11_cat_45', 'ps_ind_10_bin', 'ps_ind_11_bin', 'ps_ind_13_bin', 'ps_ind_02_cat_-1', 'ps_ind_05_cat_5', 'ps_car_01_cat_-1', 'ps_car_06_cat_2', 'ps_car_02_cat_-1', 'ps_car_04_cat_3', 'ps_car_04_cat_4', 'ps_ind_04_cat_-1', 'ps_car_11_cat_15', 'ps_car_11_cat_30', 'ps_car_11_cat_29', 'ps_car_10_cat_2', 'ps_car_11_cat_4', 'ps_car_11_cat_1', 'ps_car_10_cat_1', 'ps_car_11_cat_3', 'ps_car_11_cat_12', 'ps_car_11_cat_17', 'ps_car_11_cat_23', 'ps_car_11_cat_34', 'ps_car_11_cat_35', 'ps_car_11_cat_59', 'ps_car_11_cat_62', 'ps_car_11_cat_48', 'ps_car_11_cat_47', 'ps_car_11_cat_42', 'ps_car_11_cat_43', 'ps_car_11_cat_69', 'ps_car_11_cat_58', 'ps_car_11_cat_79', 'ps_car_11_cat_91', 'ps_car_11_cat_96', 'ps_car_11_cat_89', 'ps_car_11_cat_90', 'ps_car_11_cat_102']"
Random Forest,Porto Seguro,Classification,0.9635475002545566,0.0,0.6192566176095825,0.0014957141547323747,0.002347637662430206,23673.7607421875,"['ps_car_13', 'ps_reg_03', 'ps_reg_02', 'ps_car_14', 'ps_ind_15', 'ps_calc_11', 'ps_calc_14', 'ps_calc_10', 'ps_ind_03', 'ps_calc_13', 'ps_calc_01', 'ps_calc_02', 'ps_calc_03', 'ps_car_12', 'ps_calc_07', 'ps_calc_08', 'ps_calc_09', 'ps_ind_01', 'ps_reg_01', 'ps_calc_06', 'ps_car_15', 'ps_calc_12', 'ps_calc_05', 'ps_calc_04', 'ps_ind_05_cat_0', 'ps_ind_17_bin', 'ps_ind_07_bin', 'ps_ind_16_bin', 'ps_car_11', 'ps_calc_16_bin', 'ps_calc_17_bin', 'ps_car_07_cat_1', 'ps_ind_06_bin', 'ps_ind_04_cat_1', 'ps_car_01_cat_11', 'ps_ind_05_cat_6', 'ps_calc_19_bin', 'ps_car_05_cat_1', 'ps_calc_18_bin', 'ps_car_09_cat_1', 'ps_ind_04_cat_0', 'ps_car_03_cat_-1', 'ps_car_07_cat_-1', 'ps_car_03_cat_1', 'ps_car_09_cat_2', 'ps_car_01_cat_7', 'ps_calc_20_bin', 'ps_car_05_cat_0', 'ps_ind_02_cat_1', 'ps_car_08_cat_1', 'ps_car_08_cat_0', 'ps_ind_08_bin', 'ps_car_09_cat_0', 'ps_car_02_cat_0', 'ps_car_02_cat_1', 'ps_ind_18_bin', 'ps_ind_05_cat_4', 'ps_calc_15_bin', 'ps_car_01_cat_9', 'ps_ind_02_cat_2', 'ps_car_07_cat_0', 'ps_car_04_cat_0', 'ps_car_03_cat_0', 'ps_ind_09_bin', 'ps_car_05_cat_-1', 'ps_ind_05_cat_2', 'ps_ind_14', 'ps_car_06_cat_15', 'ps_car_06_cat_9', 'ps_car_01_cat_10', 'ps_ind_05_cat_-1', 'ps_car_11_cat_104', 'ps_car_01_cat_4', 'ps_car_04_cat_1', 'ps_car_06_cat_17', 'ps_ind_02_cat_3', 'ps_car_04_cat_9', 'ps_ind_02_cat_4', 'ps_car_01_cat_0', 'ps_car_01_cat_1', 'ps_car_01_cat_6', 'ps_car_06_cat_11', 'ps_car_06_cat_1', 'ps_car_09_cat_4', 'ps_car_11_cat_63', 'ps_car_06_cat_0', 'ps_ind_05_cat_1', 'ps_car_01_cat_8', 'ps_car_11_cat_61', 'ps_car_09_cat_3', 'ps_car_10_cat_0', 'ps_car_06_cat_14', 'ps_car_06_cat_6', 'ps_car_10_cat_1', 'ps_car_04_cat_2', 'ps_ind_05_cat_5', 'ps_car_01_cat_5', 'ps_ind_12_bin', 'ps_car_04_cat_8', 'ps_car_11_cat_33', 'ps_car_11_cat_97', 'ps_car_11_cat_90', 'ps_car_06_cat_7', 'ps_car_11_cat_93', 'ps_car_11_cat_41', 'ps_car_06_cat_8', 'ps_car_06_cat_10', 'ps_car_01_cat_3', 'ps_ind_05_cat_3', 'ps_car_11_cat_28', 'ps_car_06_cat_4', 'ps_car_11_cat_5', 'ps_car_09_cat_-1', 'ps_car_11_cat_68', 'ps_car_11_cat_25', 'ps_car_11_cat_70', 'ps_car_11_cat_18', 'ps_car_11_cat_35', 'ps_car_11_cat_36', 'ps_car_11_cat_3', 'ps_car_11_cat_14', 'ps_car_06_cat_13', 'ps_car_06_cat_16', 'ps_car_11_cat_75', 'ps_car_11_cat_46', 'ps_car_06_cat_2', 'ps_car_01_cat_-1', 'ps_car_11_cat_21', 'ps_car_11_cat_54', 'ps_car_01_cat_2', 'ps_car_11_cat_96', 'ps_car_06_cat_3', 'ps_car_11_cat_12', 'ps_car_11_cat_51', 'ps_car_11_cat_56', 'ps_car_11_cat_20', 'ps_car_11_cat_64', 'ps_car_11_cat_58', 'ps_car_11_cat_40', 'ps_car_11_cat_1', 'ps_car_04_cat_7', 'ps_car_11_cat_80', 'ps_ind_13_bin', 'ps_car_11_cat_31', 'ps_car_11_cat_88', 'ps_car_11_cat_13', 'ps_ind_11_bin', 'ps_car_11_cat_29', 'ps_ind_04_cat_-1', 'ps_car_11_cat_100', 'ps_car_11_cat_92', 'ps_car_11_cat_73', 'ps_car_11_cat_87', 'ps_car_11_cat_34', 'ps_car_11_cat_72', 'ps_car_11_cat_94', 'ps_car_11_cat_17', 'ps_car_11_cat_44', 'ps_car_11_cat_71', 'ps_car_11_cat_86', 'ps_car_11_cat_55', 'ps_ind_02_cat_-1', 'ps_car_11_cat_99', 'ps_car_11_cat_2', 'ps_car_11_cat_38', 'ps_car_11_cat_78', 'ps_car_11_cat_32', 'ps_car_11_cat_11', 'ps_car_11_cat_98', 'ps_car_11_cat_83', 'ps_car_04_cat_6', 'ps_car_11_cat_16', 'ps_car_11_cat_67', 'ps_car_11_cat_49', 'ps_car_11_cat_74', 'ps_car_11_cat_22', 'ps_car_11_cat_52', 'ps_car_11_cat_59', 'ps_car_11_cat_19', 'ps_car_11_cat_65', 'ps_car_11_cat_27', 'ps_car_11_cat_66', 'ps_car_11_cat_89', 'ps_car_11_cat_8', 'ps_car_11_cat_37', 'ps_car_11_cat_69', 'ps_car_11_cat_53', 'ps_car_11_cat_26', 'ps_car_11_cat_84', 'ps_ind_10_bin', 'ps_car_11_cat_95', 'ps_car_11_cat_4', 'ps_car_11_cat_48', 'ps_car_11_cat_50', 'ps_car_11_cat_39', 'ps_car_11_cat_103', 'ps_car_11_cat_101', 'ps_car_11_cat_76', 'ps_car_11_cat_24', 'ps_car_11_cat_85', 'ps_car_11_cat_62', 'ps_car_11_cat_102', 'ps_car_06_cat_5', 'ps_car_11_cat_82', 'ps_car_11_cat_23', 'ps_car_11_cat_42', 'ps_car_11_cat_7', 'ps_car_11_cat_91', 'ps_car_11_cat_10', 'ps_car_11_cat_79', 'ps_car_11_cat_15', 'ps_car_11_cat_60', 'ps_car_06_cat_12', 'ps_car_04_cat_5', 'ps_car_11_cat_47', 'ps_car_11_cat_77', 'ps_car_11_cat_45', 'ps_car_11_cat_57', 'ps_car_11_cat_30', 'ps_car_04_cat_3', 'ps_car_11_cat_43', 'ps_car_11_cat_6', 'ps_car_11_cat_81', 'ps_car_11_cat_9', 'ps_car_10_cat_2', 'ps_car_04_cat_4', 'ps_car_02_cat_-1']"
